id,abany,abdefctw,abdefect,abhlth,abnomore,abpoor,abpoorw,abrape,age,anydoc,attend,born,childs,class,cohort,condom,conmedic,consci,degree,doc1,doc10,doc11,doc12,doc13,doc14,doc15,doc16,doc17,doc18,doc19,doc2,doc20,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doclist,docsui,educ,fund,fund16,godoc,harmgood,health,hlthinsr,hmo1,hmo2,hmo3,hmo4,hmo5,hmo6,hmo7,hospice,income98,knwnproz,letdie1,marital,natdrug,natdrugy,natheal,nathealy,notreat,nummen,numwomen,painmed,partners,partnrs5,partyid,polviews,proz1,proz2,proz3,proz4,proz5,proz6,proz7,proz8,proz9,prozac,prozfor1,prozfor2,prozfor3,prozkid1,prozkid2,prozkid3,prozslf1,prozslf2,prozslf3,prozslf4,psycdrct,psycfdoc,psyckid1,psyckid2,psyckid3,psycmed1,psycmed2,psycmed3,psycmed4,psycmed5,psycmed6,psycmed7,psycpsyc,pubagncy,race,reg16,region,relatsex,relig,relig16,religid,religkid,reliten,res16,rightref,rincom98,sei,sex,sexfreq,sexsex,sexsex5,size,srcbelt,stress,suicide1,suicide2,suicide3,suicide4,termecon,termemot,terminal,termpain,termpay,termrel,termvig,testdrug,trustsci,usedmntl,usedproz,usepsyc1,usepsyc2,usepsyc3,usepsyc4,useskill,wordsum,wrkstat,xnorcsiz,woman,region4
1,,dk,dk,,dk,dk,dk,dk,60,,never,yes,2,working class,1938,not used,only some,only some,high school,,,,,,,,,,,,,,,,,,,,,,,12,liberal,liberal,no,disagree,good,,,,,,,,,,$40000 to 49999,,,divorced,about right,,too little,,,0,30,,no partners,1 partner,not str democrat,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,w  sou central,w  sou  central,"yes, in relationship",none,none,,no religion,no religion,town lt 50000,,$40000 to 49999,38.099998,male,not at all,,exclusively female,independent,"suburb, 12 lrgst",,,,,,,,,,,,,,not agree/dsagre,,,,,,,,0,working fulltime,"suburb, lrg city",Man,South
2,,wrong only sometimes,,,,,dk,,27,,2-3x a month,yes,0,working class,1971,,a great deal,only some,junior college,,,,,,,,,,,,,,,,,,,,,,,17,liberal,liberal,no,disagree,excellent,,,,,,,,,,$15000 to 17499,,dk,never married,about right,,about right,,,0,0,,no partners,no partners,not str democrat,liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,w  sou central,w  sou  central,,protestant,protestant,,protestant,strong,big-city suburb,,$15000 to 17499,29.299999,female,not at all,,,independent,"suburb, 12 lrgst",,no,no,no,no,,,,,,,,,not agree/dsagre,,,,,,,,0,working parttime,"suburb, lrg city",Woman,South
3,,always wrong,,,,,always wrong,,36,,every week,yes,2,middle class,1962,used last time,a great deal,a great deal,high school,,,,,,,,,,,,,,,,,,,,,,,12,liberal,fundamentalist,no,strongly disagree,excellent,,,,,,,,,,$75000 to $89999,,no,married,,too much,,too much,,0,3,,1 partner,1 partner,"ind,near rep",conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,south atlantic,w  sou  central,"yes, in relationship",protestant,protestant,evangelical,protestant,strong,farm,,$75000 - $89999,78.699997,male,2-3 per week,exclusively female,exclusively female,independent,"suburb, 12 lrgst",,no,no,no,no,,,,,,,,,not agree/dsagre,,,,,,,,0,working fulltime,"suburb, lrg city",Man,South
4,no,wrong only sometimes,yes,yes,no,no,almost always wrong,yes,21,,sevrl times a yr,yes,0,working class,1977,not used,,,high school,,,,,,,,,,,,,,,,,,,,,,,13,moderate,moderate,no,,good,,,,,,,,,,$15000 to 17499,,no,never married,,too little,,about right,,"some,1+",,,11-20 partners,21-100 partners,independent,liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,w  sou central,w  sou  central,"no, no relationship",catholic,catholic,,catholic,not very strong,big-city suburb,,$15000 to 17499,33.900002,male,4+ per week,exclusively female,exclusively female,independent,"suburb, 12 lrgst",,no,no,no,no,,,,,,,,,,,,,,,,,0,working fulltime,"suburb, lrg city",Man,South
5,yes,,yes,yes,yes,yes,,yes,35,yes,lt once a year,yes,0,working class,1963,not used,only some,a great deal,bachelor,uncertain,disagree,agree,disagree,disagree,disagree,agree,agree,uncertain,agree,uncertain,uncertain,disagree,disagree,disagree,disagree,strong disagree,uncertain,agree,uncertain,yes,agree,16,liberal,liberal,,,good,yes covered,strong disagree,strongly agree,agree,agree,agree,agree,strongly agree,stongly agree,$40000 to 49999,yes,,never married,too little,,,,stongly agree,10,0,stongly agree,1 partner,2 partners,not str republican,moderate,not agree/dsagre,disagree,agree,agree,not agree/dsagre,agree,agree,not agree/dsagre,agree,yes,2,,,somewhat likely,somewhat likely,very likely,disagree,agree,agree,agree,mixed,somewht unlikely,somewhat likely,somewhat likely,very likely,disagree,disagree,not agree/dsagre,agree,agree,agree,agree,mixed,,white,w  sou central,w  sou  central,"yes, in relationship",none,none,,,no religion,50000 to 250000,stongly agree,$40000 to 49999,63.5,female,weekly,exclusively male,exclusively male,independent,"suburb, 12 lrgst",sometimes,,,,,agree,not agree/dsagre,yes immed reltve,stongly agree,stongly agree,strong disagree,vignette e,1,,no,no,somewht unlikely,somewhat likely,somewhat likely,somewhat likely,a lot,7,working fulltime,"suburb, lrg city",Woman,South
6,no,,yes,yes,dk,yes,,yes,33,no,once a month,yes,1,working class,1965,not used,,,bachelor,strongly agree,agree,uncertain,disagree,agree,disagree,strongly agree,agree,agree,agree,uncertain,disagree,uncertain,disagree,disagree,agree,strongly agree,uncertain,disagree,disagree,yes,not agree/dsagre,16,moderate,moderate,,,excellent,yes covered,not agree/dsagre,not agree/dsagre,agree,agree,agree,not agree/dsagre,agree,agree,$22500 to 24999,yes,yes,divorced,too little,,about right,,stongly agree,0,10,disagree,2 partners,5-10 partners,independent,moderate,not agree/dsagre,disagree,disagree,agree,agree,agree,agree,disagree,disagree,yes,3,2,,somewht unlikely,somewht unlikely,mixed,strong disagree,disagree,disagree,not agree/dsagre,somewht unlikely,mixed,somewht unlikely,somewht unlikely,mixed,disagree,disagree,not agree/dsagre,agree,agree,agree,agree,somewht unlikely,,white,w  sou central,w  sou  central,"yes, in relationship",protestant,protestant,,,somewhat strong,big-city suburb,stongly agree,,64.400002,male,once a month,exclusively female,exclusively female,independent,"suburb, 12 lrgst",always,yes,no,no,no,stongly agree,agree,yes myself,agree,stongly agree,disagree,vignette a,1,,no,no,very unlikely,somewht unlikely,somewht unlikely,mixed,a lot,5,working fulltime,"suburb, lrg city",Man,South
7,,,,,,,,,43,yes,once a year,yes,0,middle class,1955,used last time,only some,a great deal,high school,agree,disagree,agree,agree,agree,disagree,disagree,agree,uncertain,agree,agree,uncertain,agree,disagree,disagree,agree,disagree,disagree,disagree,uncertain,yes,strong disagree,12,moderate,liberal,,,good,yes covered,strong disagree,agree,agree,agree,agree,strongly agree,agree,agree,$40000 to 49999,yes,no,separated,,too much,,too much,agree,0,20,agree,2 partners,3 partners,not str republican,moderate,not agree/dsagre,agree,strongly agree,disagree,disagree,not agree/dsagre,disagree,disagree,disagree,yes,1,25,,very unlikely,very unlikely,mixed,strong disagree,strong disagree,strong disagree,strong disagree,somewhat likely,somewht unlikely,very likely,very unlikely,somewhat likely,agree,agree,strongly agree,disagree,strong disagree,strong disagree,disagree,somewht unlikely,,white,e  nor central,w  sou  central,"yes, in relationship",protestant,protestant,,,strong,town lt 50000,agree,$40000 to 49999,54.900002,male,2-3 per week,exclusively female,exclusively female,independent,"suburb, 12 lrgst",sometimes,no,no,no,no,disagree,agree,yes immed reltve,not agree/dsagre,disagree,agree,vignette d,agree,,no,no,very unlikely,very unlikely,very unlikely,very unlikely,almost all,7,working fulltime,"suburb, lrg city",Man,South
8,,wrong only sometimes,,,,,almost always wrong,,29,,never,yes,0,middle class,1969,used last time,only some,a great deal,high school,,,,,,,,,,,,,,,,,,,,,,,13,liberal,moderate,no,strongly disagree,fair,,,,,,,,,,$90000 - $109999,,yes,never married,about right,,too much,,,0,3,,no partners,2 partners,"ind,near rep",moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,w  sou central,w  sou  central,"yes, in relationship",none,catholic,,catholic,no religion,city gt 250000,,$35000 to 39999,76.300003,male,not at all,,exclusively female,1631,12 lrgst smsa's,,yes,yes,yes,yes,,,,,,,,,strong disagree,,,,,,,,0,working fulltime,city gt 250000,Man,South
9,yes,not wrong at all,yes,yes,yes,yes,not wrong at all,yes,39,,nrly every week,yes,2,middle class,1959,not used,,,bachelor,,,,,,,,,,,,,,,,,,,,,,,18,liberal,fundamentalist,no,disagree,excellent,,,,,,,,,,,,yes,married,,about right,,too little,,2,0,,1 partner,1 partner,"ind,near rep",slghtly conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,w  sou central,w  sou  central,"yes, in relationship",protestant,protestant,mainline,,not very strong,city gt 250000,,dk,78.5,female,2-3 per week,exclusively male,exclusively male,1631,12 lrgst smsa's,,no,no,no,no,,,,,,,,,disagree,,,,,,,,0,working parttime,city gt 250000,Woman,South
10,yes,,yes,yes,yes,yes,,yes,45,yes,nrly every week,yes,0,middle class,1953,not used,,,junior college,uncertain,uncertain,uncertain,uncertain,disagree,uncertain,uncertain,uncertain,uncertain,agree,uncertain,disagree,disagree,uncertain,uncertain,disagree,agree,disagree,uncertain,disagree,yes,agree,15,,moderate,,,excellent,yes covered,disagree,not agree/dsagre,agree,not agree/dsagre,agree,agree,not agree/dsagre,agree,$60000 to 74999,yes,yes,divorced,,too little,,too little,stongly agree,0,12,agree,1 partner,2 partners,not str republican,slghtly conservative,not agree/dsagre,not agree/dsagre,not agree/dsagre,agree,agree,agree,not agree/dsagre,disagree,not agree/dsagre,yes,4,,,mixed,mixed,mixed,not agree/dsagre,agree,agree,agree,mixed,somewht unlikely,somewhat likely,mixed,somewhat likely,disagree,disagree,not agree/dsagre,agree,agree,agree,not agree/dsagre,somewhat likely,,white,w  sou central,w  sou  central,"yes, in relationship",inter-nondenominational,catholic,,,not very strong,50000 to 250000,stongly agree,$60000 to 74999,86.599998,male,weekly,exclusively female,exclusively female,1631,12 lrgst smsa's,sometimes,yes,yes,yes,no,agree,not agree/dsagre,yes othr relatve,agree,agree,not agree/dsagre,vignette b,agree,,no,no,mixed,somewhat likely,somewhat likely,somewhat likely,almost all,6,working fulltime,city gt 250000,Man,South
