"dbn","school_name","school_type","enrollment","survey_pp_RI","survey_pp_CT","survey_pp_SE","survey_pp_ES","survey_pp_SF","survey_pp_TR","QR_1_1","QR_1_2","QR_2_2","QR_3_4","QR_4_2","QR_1_4","QR_1_3","QR_3_1","QR_4_1","QR_5_1","Dates_of_Review","rating_ela_grade_8_pct_rs","rating_mth_grade_8_pct_rs","gender_female_pct","gender_male_pct","ELL","IEP","cap_sc_pct"
"01M292","Orchard Collegiate Academy","High School","226","0.74","0.8","0.71","0.88","0.86","0.89","Proficient","Proficient","Proficient","Proficient","Proficient","Well Developed","Proficient","Proficient","Well Developed","Proficient","2017-04-01T00:00:00.000","2.78","2.36","0.447","0.553","0.08","0.288","0.004"
"01M448","University Neighborhood High School","High School","492","0.85","0.91","0.87","0.92","0.92","0.93","Well Developed","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","Well Developed","Well Developed","2019-05-01T00:00:00.000","2.97","3.02","0.474","0.526","0.136","0.161","0.002"
"01M450","East Side Community School","High School","364","No Data","No Data","No Data","1","0.97","1","Well Developed","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","Well Developed","Well Developed","2019-12-01T00:00:00.000","3.03","2.96","0.505","0.495","0.011","0.245","0"
"01M509","Marta Valle High School","High School","97","0.8","0.93","0.81","0.89","0.98","0.99","Developing","Developing","Developing","Proficient","Developing","Proficient","Proficient","Proficient","Proficient","Proficient","2016-12-01T00:00:00.000","2.82","2.2","0.567","0.433","0.082","0.258","0.021"
"01M539","New Explorations into Science, Technology and Math","High School","654","0.8","0.79","0.74","0.82","0.92","0.87","Well Developed","Proficient","Proficient","Well Developed","Proficient","Well Developed","Well Developed","Proficient","Proficient","Well Developed","2017-04-01T00:00:00.000","3.67","3.89","0.502","0.498","0.003","0.145","0.002"
"01M696","Bard High School Early College","High School","613","0.86","0.87","0.81","0.92","0.87","0.92","Well Developed","Well Developed","Proficient","Well Developed","Proficient","Well Developed","Well Developed","Proficient","Developing","Proficient","2018-11-01T00:00:00.000","3.85","4.09","0.571","0.429","0","0.106","0"
"02M047","47 The American Sign Language and English Secondar","High School","232","0.65","0.59","0.66","0.64","0.83","0.75","Well Developed","Proficient","Proficient","Well Developed","Well Developed","No Data","No Data","No Data","No Data","No Data","2015-02-12T00:00:00.000","2.9","2.67","0.711","0.289","0.047","0.246","0.004"
"02M135","The Urban Assembly School for Emergency Management","High School","256","0.77","0.8","0.65","0.71","0.87","0.75","Well Developed","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","2016-10-01T00:00:00.000","2.86","2.48","0.52","0.48","0.043","0.215","0.004"
"02M139","Stephen T. Mather Building Arts & Craftsmanship Hi","High School","416","0.68","0.75","0.69","0.77","0.88","0.84","Proficient","Proficient","Proficient","Well Developed","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","2018-11-01T00:00:00.000","2.71","2.57","0.373","0.627","0.053","0.26","0"
"02M260","The Clinton School","High School","486","No Data","No Data","No Data","0.83","0.83","0.87","Well Developed","Well Developed","Proficient","Well Developed","Proficient","Well Developed","Well Developed","Proficient","Proficient","Proficient","2018-12-01T00:00:00.000","3.69","3.62","0.673","0.327","0","0.183","0.002"
